url,listing_id,zipcode,monthly_rent,bedrooms,bathrooms,square_feet,walk_score,transit_score,deposit,latitude,longitude,neighborhood,nbhd
https://www.apartments.com/cherry-glen-indianapolis-in/rlyeph3/,rlyeph3,46227,659,0,1,288,43,29,350,39.71001,-86.11621,University Heights,University Heights
https://www.apartments.com/lakeshore-apartments-indianapolis-in/8qwppw3/,8qwppw3,46250,1223,1,1,600,61,31,1223,39.90582,-86.08482,Castleton,Castleton
https://www.apartments.com/southport-at-buck-creek-indianapolis-in/zj50m0x/,zj50m0x,46227,870,1,1,700,45,29,870,39.66432,-86.13416,South Perry,South Perry
https://www.apartments.com/saxony-court-indianapolis-in/gelksqz/,gelksqz,46219,765,2,1,740,72,37,300,39.76991,-86.06925,Irvington,Irvington
https://www.apartments.com/chateau-in-the-woods-indianapolis-in/b7hgn49/,b7hgn49,46220,899,1,1,712,30,24,899,39.86287,-86.09838,Allisonville,Allisonville
https://www.apartments.com/castleton-manor-apartments-indianapolis-in/q7hhdey/,q7hhdey,46220,900,1,1.5,800,57,0,900,39.87878,-86.06904,Devonshire,Devonshire
https://www.apartments.com/sycamores-indianapolis-in/lfxzc1g/,lfxzc1g,46227,731,0,1,482,54,30,731,39.65048,-86.13052,South Perry,South Perry
https://www.apartments.com/stanford-court-speedway-in/we92wyj/,we92wyj,46224,558,1,1,470,13,0,558,39.79033,-86.26915,Speedway,Speedway
https://www.apartments.com/linden-square-indianapolis-in/q5yr41z/,q5yr41z,46234,1045,1,1,646,29,0,1045,39.77982,-86.33122,Indianapolis,Indianapolis
https://www.apartments.com/st-agnes-indianapolis-in/6pz8wtt/,6pz8wtt,46202,625,0,1,375,60,56,625,39.78545,-86.15801,Near Northside,Near Northside
https://www.apartments.com/fallwood-apartments-indianapolis-in/07kg0l3/,07kg0l3,46220,950,1,1.5,760,10,0,950,39.8503,-86.09786,Millersville,Millersville
https://www.apartments.com/veridian-castleton-indianapolis-in/e4v0xqm/,e4v0xqm,46250,1087,1,1,824,20,0,200,39.89158,-86.0628,Allisonville,Allisonville
https://www.apartments.com/avery-point-indianapolis-in/e6rx97n/,e6rx97n,46250,1040,1,1,720,33,30,1040,39.91121,-86.0494,Castleton,Castleton
